,location,total_sqft,bath,price,bhk,encoded_loc
1398,other,920.0,2,35.0,2,230
1399,Choodasandra,1300.0,2,57.0,2,60
1400,Harlur,1757.0,3,132.0,3,91
1401,Anekal,600.0,1,16.5,1,17
1402,other,2400.0,3,142.0,4,230
1403,Sarjapur,1240.0,2,44.0,2,193
1404,EPIP Zone,1330.0,2,93.36,2,73
1405,8th Phase JP Nagar,1062.0,2,42.47,2,7
1406,JP Nagar,1078.0,2,45.0,2,109
1407,Bannerghatta Road,1460.0,2,72.0,3,34
1408,Whitefield,1200.0,3,68.5,3,224
1409,Laggere,1200.0,1,48.0,1,152
1410,Kammasandra,912.0,2,39.0,3,125
1411,Hosa Road,1590.0,3,115.0,3,101
1412,Prithvi Layout,2028.0,4,162.0,4,181
1413,Mysore Road,980.0,2,45.47,2,166
1414,Sarjapur  Road,1000.0,2,40.0,2,194
1415,Sarjapur  Road,1050.0,2,62.0,2,194
1416,Domlur,1875.0,2,150.0,3,71
1417,Hennur Road,1065.0,2,42.6,2,96
1418,Sector 7 HSR Layout,1163.0,2,98.86,2,197
1419,Tumkur Road,1098.0,2,72.0,2,214
1420,5th Phase JP Nagar,1725.0,2,100.0,3,4
1421,Whitefield,4000.0,4,330.0,4,224
1422,Thubarahalli,1128.0,2,75.0,2,211
1423,Yelahanka,1705.0,3,74.16,3,226
1424,Thigalarapalya,1418.0,2,95.0,2,210
1425,Hebbal,1100.0,2,50.0,2,92
1426,Hebbal,812.0,2,55.0,2,92
1427,Binny Pete,4165.0,2,204.0,4,45
1428,other,1280.0,2,40.0,2,230
1429,Old Airport Road,2774.0,4,207.0,4,176
1430,other,2000.0,3,85.0,3,230
1431,HBR Layout,1722.0,3,95.0,3,87
1432,other,840.0,2,27.0,2,230
1433,Jigani,914.0,2,47.0,2,113
1434,Hennur Road,1482.0,2,83.73,3,96
1435,Kundalahalli,1724.0,3,127.0,3,150
1436,other,1670.0,3,91.86,3,230
1437,Banaswadi,1184.0,2,53.0,2,31
1438,Kodigehaali,1200.0,2,55.0,2,139
1439,TC Palaya,1200.0,2,65.0,2,207
1440,Jigani,927.0,2,55.0,2,113
1441,other,1242.0,2,39.7,2,230
1442,Electronic City Phase II,1220.0,3,35.23,3,75
1443,Electronic City,1360.0,2,75.0,3,74
1444,Brookefield,2800.0,4,240.0,4,51
1445,7th Phase JP Nagar,1180.0,2,72.0,2,6
1446,Whitefield,1697.0,3,108.0,3,224
1447,Yelahanka New Town,550.0,2,26.0,2,227
1448,Hennur,1225.0,2,57.0,2,95
1449,other,1690.0,2,55.0,3,230
1450,other,1488.0,3,57.0,3,230
1451,other,1250.0,2,80.0,3,230
1452,JP Nagar,1050.0,1,44.0,1,109
1453,HSR Layout,1027.0,2,44.0,2,89
1454,Kanakpura Road,1699.0,3,81.94,3,127
1455,Whitefield,1205.0,2,58.0,2,224
1456,Horamavu Agara,950.0,2,39.0,2,98
1457,TC Palaya,1200.0,2,70.0,2,207
1458,Akshaya Nagar,1476.0,3,120.0,3,11
1459,CV Raman Nagar,1070.0,2,55.0,2,53
1460,EPIP Zone,2160.0,4,172.0,3,73
1461,Sector 2 HSR Layout,1296.0,2,75.0,2,196
1462,Chikkalasandra,1800.0,1,128.0,2,59
1463,Kanakpura Road,1570.0,3,64.5,3,127
1464,Koramangala,1300.0,2,110.0,2,144
1465,Sarjapur,1550.0,2,65.0,4,193
1466,Electronic City,770.0,1,40.0,2,74
1467,Jalahalli,1870.0,3,110.0,3,111
1468,Domlur,1429.0,3,86.0,3,71
1469,Babusapalaya,1167.0,2,39.98,3,24
1470,Bommasandra,1035.0,2,41.73,2,48
1471,Kengeri,1188.0,2,38.0,3,135
1472,Sarjapur,1590.0,3,76.0,3,193
1473,Nagarbhavi,884.0,2,36.0,1,169
1474,Hoodi,1026.0,2,60.87,2,97
1475,Kaikondrahalli,1115.0,2,50.0,2,120
1476,Old Airport Road,2690.0,4,191.0,4,176
1477,Subramanyapura,975.0,2,58.0,2,205
1478,OMBR Layout,1101.0,2,65.5,2,175
1479,Sarjapur  Road,1700.0,3,135.0,3,194
1480,Whitefield,3606.0,4,312.0,4,224
1481,Kanakpura Road,1560.0,3,92.0,3,127
1482,Old Madras Road,3630.0,6,195.0,4,177
1483,Hebbal,2790.0,4,198.0,4,92
1484,other,1494.0,2,94.55,3,230
1485,Hennur Road,1482.0,2,87.0,3,96
1486,other,800.0,2,50.0,2,230
1487,Raja Rajeshwari Nagar,1185.0,2,47.39,2,184
1488,Hulimavu,1100.0,2,71.5,2,105
1489,Hulimavu,1758.0,3,65.0,3,105
1490,Banaswadi,1145.0,2,55.0,2,31
1491,Hormavu,1180.0,2,50.0,2,100
1492,other,1260.0,2,58.0,2,230
1493,Yelahanka,5186.0,2,173.0,4,226
1494,Arekere,1190.0,2,55.0,2,20
1495,Sarjapur  Road,1691.0,3,119.0,3,194
1496,Frazer Town,1305.0,3,95.45,3,77
1497,Kogilu,1140.0,2,50.66,2,142
1498,other,1250.0,2,65.0,2,230
1499,other,1225.0,2,48.0,2,230
1500,Kereguddadahalli,800.0,2,28.0,2,137
1501,Jalahalli East,1020.0,2,58.0,2,112
1502,other,1350.0,2,80.0,2,230
1503,Anekal,925.0,2,40.0,2,17
1504,other,2000.0,3,100.0,3,230
1505,Frazer Town,1510.0,2,75.0,3,77
1506,other,1614.0,3,110.0,3,230
1507,Gottigere,1200.0,2,95.0,2,82
1508,TC Palaya,900.0,2,55.0,2,207
1509,OMBR Layout,1041.0,2,65.5,2,175
1510,Bannerghatta,3012.0,6,250.0,4,33
1511,Marathahalli,1530.0,3,74.5,3,161
1512,Bannerghatta Road,1200.0,2,75.0,2,34
1513,Hosur Road,1508.0,2,110.0,3,104
1514,other,1188.0,2,73.0,2,230
1515,Old Airport Road,2690.0,4,199.0,4,176
1516,Harlur,1174.0,2,76.0,2,91
1517,Old Madras Road,1350.0,3,58.99,3,177
1518,Kengeri,726.0,2,31.0,2,135
1519,Hosur Road,1345.0,2,106.0,2,104
1520,Begur Road,1200.0,2,45.0,2,39
1521,Nagavarapalya,980.0,2,37.0,2,172
1522,Hormavu,1050.0,2,77.0,2,100
1523,Uttarahalli,993.0,2,39.71,2,216
1524,7th Phase JP Nagar,1300.0,2,52.0,3,6
1525,Vittasandra,1743.0,3,85.0,3,223
1526,Hormavu,1200.0,2,67.0,2,100
1527,Sarjapur,950.0,2,32.5,2,193
1528,Domlur,640.0,1,55.0,1,71
1529,Electronic City Phase II,972.0,2,44.0,2,75
1530,Marathahalli,1840.0,3,98.0,3,161
1531,Electronic City,1128.0,2,64.0,2,74
1532,other,680.0,2,42.0,2,230
1533,other,2400.0,2,95.0,2,230
1534,other,1045.0,2,42.0,2,230
1535,other,955.0,2,53.55,2,230
1536,Doddakallasandra,1360.0,2,54.39,3,69
1537,BTM Layout,1150.0,2,63.0,2,23
1538,Hennur Road,3450.0,4,294.0,4,96
1539,other,1115.0,2,56.87,2,230
1540,Jigani,920.0,2,46.0,2,113
1541,Bommasandra Industrial Area,1030.0,2,41.0,2,49
1542,Thanisandra,1564.0,3,101.0,3,209
1543,Uttarahalli,1045.0,2,45.0,2,216
1544,Hegde Nagar,1200.0,4,83.0,4,94
1545,Subramanyapura,1277.0,2,55.0,2,205
1546,other,2479.13,3,215.0,3,230
1547,Sarjapur  Road,1846.0,3,140.0,3,194
1548,other,1690.0,3,75.0,3,230
1549,Hormavu,1200.0,3,70.0,2,100
1550,Yelahanka,3042.0,4,131.0,4,226
1551,other,1068.0,2,40.05,2,230
1552,Kanakpura Road,1135.0,2,58.0,2,127
1553,other,1925.0,3,120.0,3,230
1554,Begur Road,1615.0,3,60.0,3,39
1555,other,650.0,1,26.0,1,230
1556,Kaggadasapura,1150.0,2,42.0,2,118
1557,other,1410.0,2,45.12,3,230
1558,Tumkur Road,1354.0,3,90.0,3,214
1559,Arekere,600.0,1,28.0,1,20
1560,Varthur,1320.0,2,110.0,4,217
1561,Koramangala,1600.0,3,88.0,3,144
1562,Kanakpura Road,3500.0,6,225.0,4,127
1563,GM Palaya,1000.0,2,36.0,2,78
1564,other,1130.0,3,38.0,3,230
1565,Vittasandra,1238.0,2,67.0,2,223
1566,Kudlu Gate,1364.0,2,46.38,3,148
1567,other,900.0,2,45.0,2,230
1568,Gubbalala,1745.0,3,104.0,3,84
1569,Kogilu,1200.0,2,53.33,2,142
1570,Kanakapura,1020.0,2,42.83,2,126
1571,Banashankari Stage III,1650.0,3,118.0,3,28
1572,other,1550.0,2,70.0,3,230
1573,5th Phase JP Nagar,1440.0,2,60.0,2,4
1574,Sarjapura - Attibele Road,1329.0,2,45.95,3,195
1575,other,916.0,2,42.0,2,230
1576,Hulimavu,688.0,1,50.0,1,105
1577,other,1358.0,3,50.0,3,230
1578,Kanakpura Road,1331.0,2,107.0,2,127
1579,Hoodi,1050.0,2,50.0,2,97
1580,Talaghattapura,2106.0,3,126.0,3,208
1581,Bhoganhalli,1718.0,3,90.2,3,43
1582,Raja Rajeshwari Nagar,1530.0,3,57.0,3,184
1583,5th Block Hbr Layout,1206.0,2,56.0,2,3
1584,Hebbal,1075.0,2,52.0,2,92
1585,Sarjapur  Road,1200.0,3,95.0,3,194
1586,other,1936.0,2,54.21,3,230
1587,Nagavara,2172.65,3,120.0,4,171
1588,Sahakara Nagar,1100.0,2,75.0,3,190
1589,other,1685.0,2,110.0,3,230
1590,CV Raman Nagar,740.0,2,37.0,2,53
1591,Magadi Road,1500.0,2,93.0,4,155
1592,Banashankari,1800.0,3,115.0,3,26
1593,Yelachenahalli,1700.0,3,130.0,3,225
1594,Uttarahalli,850.0,2,37.93,2,216
1595,Hennur Road,1891.0,3,139.0,3,96
1596,Jalahalli,1400.0,1,80.0,2,111
1597,Lakshminarayana Pura,1172.0,2,82.0,2,153
1598,Sonnenahalli,896.0,2,43.75,2,204
1599,Vijayanagar,1180.0,2,65.0,2,220
1600,other,850.0,2,33.0,2,230
1601,Anekal,530.0,1,18.0,1,17
1602,other,1550.0,3,110.0,3,230
1603,Kanakapura,1699.0,3,97.0,3,126
1604,Bellandur,2025.0,4,109.0,4,40
1605,Ananth Nagar,500.0,2,14.0,1,16
1606,other,500.0,1,20.0,1,230
1607,other,1146.0,2,38.5,2,230
1608,Seegehalli,800.0,1,50.0,2,198
1609,Abbigere,765.0,2,30.0,1,10
1610,Lingadheeranahalli,1521.0,3,94.99,3,154
1611,Gottigere,1600.0,2,55.0,3,82
1612,Hebbal Kempapura,2900.0,4,240.0,3,93
1613,other,1765.0,3,105.0,3,230
1614,Kasavanhalli,1980.0,3,88.0,3,130
1615,Amruthahalli,1900.0,3,135.0,3,14
1616,other,1265.0,2,70.0,2,230
1617,Bommasandra,1034.0,2,40.0,2,48
1618,other,1012.0,2,59.0,2,230
1619,Electronic City,1070.0,2,54.0,2,74
1620,Mahadevpura,3555.0,4,230.0,4,156
1621,5th Block Hbr Layout,1270.0,2,70.0,3,3
1622,other,2045.0,4,154.0,3,230
1623,Bellandur,1490.0,2,98.0,3,40
1624,Mysore Road,883.0,2,40.0,2,166
1625,Yeshwanthpur,671.0,1,36.85,1,229
1626,Kammasandra,1156.0,2,32.0,2,125
1627,Haralur Road,2017.0,3,125.0,3,90
1628,Thigalarapalya,3122.0,6,235.0,4,210
1629,Ramagondanahalli,1635.0,3,62.0,3,187
1630,Kanakpura Road,1296.0,2,89.0,2,127
1631,Budigere,1139.0,2,62.0,2,52
1632,CV Raman Nagar,1230.0,3,47.0,2,53
1633,other,581.91,2,25.0,1,230
1634,Binny Pete,1245.0,2,86.28,2,45
1635,other,1158.0,2,85.0,3,230
1636,Marathahalli,3951.0,4,220.0,4,161
1637,Ramamurthy Nagar,360.0,1,26.0,1,188
1638,Electronics City Phase 1,1350.0,3,55.0,3,76
1639,Green Glen Layout,1670.0,3,120.0,3,83
1640,Akshaya Nagar,1600.0,2,65.0,3,11
1641,Horamavu Banaswadi,1307.0,2,51.6,2,99
1642,7th Phase JP Nagar,1050.0,2,57.0,3,6
1643,Hennur Road,1703.0,3,101.0,3,96
1644,Kaggalipura,1210.0,2,58.0,3,119
1645,Electronic City,1025.0,2,29.6,2,74
1646,7th Phase JP Nagar,1343.0,2,56.41,3,6
1647,R.T. Nagar,1560.0,3,85.0,3,182
1648,other,925.0,2,51.0,2,230
1649,Kanakpura Road,1420.0,2,75.0,3,127
1650,other,1415.0,2,110.0,2,230
1651,other,1210.0,2,60.0,2,230
1652,Yeshwanthpur,1852.0,3,160.0,3,229
1653,Hoskote,1250.0,3,50.0,3,103
1654,9th Phase JP Nagar,1100.0,2,65.0,2,8
1655,other,1150.0,2,40.25,2,230
1656,Jakkur,1100.0,2,53.35,2,110
1657,Magadi Road,1350.0,1,100.0,2,155
1658,Panathur,1546.0,3,99.0,3,180
1659,Ambedkar Nagar,1424.0,2,90.0,2,13
1660,Bellandur,1398.0,3,68.0,3,40
1661,Brookefield,1476.0,3,105.0,3,51
1662,Magadi Road,1322.0,2,58.82,3,155
1663,other,1100.0,2,55.0,2,230
1664,Sarjapur,1285.0,2,68.0,3,193
1665,Ambalipura,1150.0,2,80.0,2,12
1666,Thanisandra,1430.0,2,56.0,3,209
1667,Marathahalli,1350.0,2,62.0,3,161
1668,Thubarahalli,1185.0,2,65.0,2,211
1669,Bannerghatta Road,1760.0,3,67.0,3,34
1670,Kanakpura Road,900.0,2,41.0,2,127
1671,Kanakpura Road,1297.0,2,105.0,2,127
1672,other,1840.0,3,155.0,3,230
1673,Ramamurthy Nagar,950.0,2,50.79,2,188
1674,Chikkabanavar,1200.0,4,70.0,5,58
1675,BTM 2nd Stage,950.0,2,52.0,2,22
1676,Yeshwanthpur,1902.5,2,95.815,2,229
1677,Electronic City,1571.0,3,89.0,3,74
1678,Electronic City Phase II,1031.0,2,55.0,2,75
1679,Whitefield,1485.0,2,90.0,2,224
1680,Ananth Nagar,1109.0,2,60.0,2,16
1681,Koramangala,2200.0,3,180.0,3,144
1682,Whitefield,950.0,1,50.0,1,224
1683,Electronic City Phase II,1003.0,2,40.6,2,75
1684,9th Phase JP Nagar,1080.0,2,37.0,2,8
1685,Hulimavu,1255.0,2,73.0,2,105
1686,Banaswadi,1250.0,2,60.0,2,31
1687,Ramamurthy Nagar,1200.0,2,66.0,3,188
1688,other,824.0,2,60.0,2,230
1689,Bommasandra Industrial Area,1320.0,2,38.12,3,49
1690,Kothanur,9600.0,5,550.0,5,146
1691,Uttarahalli,1330.0,2,47.0,3,216
1692,Kaikondrahalli,1220.0,3,56.0,3,120
1693,Electronic City,1111.0,3,50.0,3,74
1694,Kothannur,1197.0,2,47.88,2,145
1695,Marathahalli,2519.0,5,185.0,4,161
1696,other,1340.0,2,100.0,3,230
1697,Hoodi,1837.0,3,145.0,3,97
1698,Kudlu Gate,1238.0,2,55.0,2,148
1699,7th Phase JP Nagar,1405.0,2,59.01,3,6
1700,Doddaballapur,1690.0,3,80.0,4,68
1701,other,1620.0,2,110.0,3,230
1702,Kanakpura Road,1673.0,3,115.0,3,127
1703,Margondanahalli,1090.0,2,58.0,2,162
1704,Varthur,1112.0,2,40.0,2,217
1705,Marathahalli,1385.0,2,66.65,3,161
1706,Electronic City Phase II,545.0,1,27.0,2,75
1707,Subramanyapura,985.0,2,58.0,2,205
1708,Kanakpura Road,1160.0,1,36.29,1,127
1709,Kanakpura Road,1080.0,2,37.8,2,127
1710,Hosa Road,1430.0,2,97.52,2,101
1711,Kengeri Satellite Town,1050.0,2,43.0,2,136
1712,Kumaraswami Layout,2000.0,4,139.0,4,149
1713,Banashankari Stage VI,4800.0,4,190.0,4,30
1714,other,1533.0,3,115.0,3,230
1715,Lakshminarayana Pura,1750.0,3,150.0,3,153
1716,Prithvi Layout,1352.0,2,87.5,2,181
1717,Harlur,1754.0,3,125.0,3,91
1718,other,1560.0,3,85.0,3,230
1719,Whitefield,3584.0,4,199.0,4,224
1720,Channasandra,1470.0,2,90.0,3,56
1721,9th Phase JP Nagar,1035.0,2,45.0,2,8
1722,Kammanahalli,1160.0,2,52.0,2,124
1723,Jakkur,1100.0,2,52.0,2,110
1724,Horamavu Agara,1170.0,2,38.0,2,98
1725,Bannerghatta Road,595.0,1,31.83,1,34
1726,HSR Layout,1650.0,3,110.0,3,89
1727,other,1375.0,2,48.06,3,230
1728,Ramagondanahalli,1235.0,2,46.8,2,187
1729,other,750.0,1,25.0,1,230
1730,7th Phase JP Nagar,1400.0,3,115.0,3,6
1731,other,1270.0,2,50.79,3,230
1732,Bannerghatta Road,1105.0,2,51.0,2,34
1733,other,1375.0,2,85.0,3,230
1734,Attibele,2168.0,4,95.0,4,21
1735,Yelahanka,1065.0,2,40.84,2,226
1736,Whitefield,825.0,1,45.0,1,224
1737,other,1095.0,2,40.0,2,230
1738,other,1440.0,2,60.33,3,230
1739,Electronic City,870.0,2,39.5,2,74
1740,Panathur,1195.0,2,84.0,2,180
1741,other,1200.0,2,49.5,2,230
1742,Raja Rajeshwari Nagar,1530.0,3,61.2,3,184
1743,Padmanabhanagar,1708.0,2,90.5,3,178
1744,other,975.0,2,43.0,2,230
1745,KR Puram,750.0,2,25.0,2,115
1746,Iblur Village,1920.0,3,130.0,3,107
1747,Thanisandra,1183.0,2,58.56,2,209
1748,Kothanur,1140.0,4,90.0,4,146
1749,Mico Layout,1550.0,2,65.0,3,163
1750,Kaggadasapura,1110.0,2,53.0,2,118
1751,Kaggadasapura,1105.0,2,38.67,2,118
1752,Anekal,1800.0,3,68.0,3,17
1753,other,2800.0,4,200.0,5,230
1754,Bommanahalli,1000.0,2,29.9,2,47
1755,Prithvi Layout,1190.0,2,68.0,2,181
1756,Hebbal,3067.0,4,230.0,4,92
1757,Sarjapur  Road,1929.0,4,103.0,3,194
1758,Ramamurthy Nagar,1525.0,3,100.0,3,188
1759,Nehru Nagar,1775.0,3,110.0,3,174
1760,Banashankari,1125.0,2,63.0,2,26
1761,other,900.0,2,42.0,2,230
1762,Sarjapur  Road,1155.0,2,58.0,2,194
1763,Hulimavu,1200.0,4,75.0,4,105
1764,Sonnenahalli,1268.0,2,73.0,2,204
1765,other,1500.0,3,88.0,3,230
1766,Electronic City,630.0,1,47.0,1,74
1767,Seegehalli,1525.0,3,65.0,3,198
1768,Kaggadasapura,1060.0,2,48.0,2,118
1769,Lingadheeranahalli,1687.0,3,127.0,3,154
1770,Thanisandra,1847.0,3,123.0,3,209
1771,Begur Road,1410.0,2,53.0,3,39
1772,7th Phase JP Nagar,1075.0,2,42.99,2,6
1773,other,1010.0,2,46.0,2,230
1774,Kanakpura Road,983.0,2,50.6,2,127
1775,Kasturi Nagar,1101.0,2,65.0,2,131
1776,other,1140.0,2,76.0,2,230
1777,Kengeri Satellite Town,1007.0,2,42.0,2,136
1778,Bellandur,2039.0,3,168.0,3,40
1779,other,1198.0,2,84.0,2,230
1780,other,1370.0,2,75.0,2,230
1781,other,1316.0,2,55.5,2,230
1782,Kaggadasapura,1350.0,3,55.5,3,118
1783,other,1050.0,2,43.0,2,230
1784,KR Puram,1631.275,3,47.405,3,115
1785,Electronic City,921.0,2,34.0,2,74
1786,Kundalahalli,1010.0,2,49.27,2,150
1787,KR Puram,1015.0,2,43.0,2,115
1788,TC Palaya,1200.0,2,66.5,3,207
1789,Lakshminarayana Pura,1179.0,2,75.0,2,153
1790,Anjanapura,1850.0,4,86.0,4,18
1791,Kammasandra,870.0,2,24.0,2,125
1792,Bellandur,1605.0,3,85.0,3,40
1793,Banashankari Stage VI,2800.0,4,89.0,4,30
1794,other,2400.0,7,110.0,6,230
1795,other,1000.0,1,55.0,2,230
1796,Ramamurthy Nagar,1200.0,2,80.0,2,188
1797,Kammasandra,1200.0,2,66.0,2,125
1798,other,1200.0,2,50.0,2,230
1799,Hennur,1255.0,2,57.5,2,95
1800,Hosur Road,1085.0,2,30.38,2,104
1801,Kanakpura Road,1592.0,3,125.0,3,127
1802,other,1313.0,2,58.27,2,230
1803,Kogilu,1934.0,3,150.0,3,142
1804,Harlur,1200.0,2,49.5,2,91
1805,Uttarahalli,3600.0,6,120.0,6,216
1806,Old Madras Road,935.0,2,45.0,2,177
1807,Bommasandra,877.0,2,30.0,2,48
1808,other,936.0,2,42.0,2,230
1809,Nagasandra,1470.0,2,110.0,3,170
1810,other,1050.0,1,70.0,1,230
1811,Hennur Road,1232.0,2,69.61,2,96
1812,Ambedkar Nagar,2225.0,4,169.0,3,13
1813,other,1200.0,2,80.0,3,230
1814,Dasarahalli,1901.0,3,119.0,3,64
1815,Sarjapur  Road,1819.0,3,100.0,3,194
1816,Old Madras Road,5530.0,6,200.5,4,177
1817,9th Phase JP Nagar,5000.0,4,290.0,4,8
1818,other,1256.0,2,60.0,2,230
1819,7th Phase JP Nagar,1100.0,2,44.0,2,6
1820,TC Palaya,4800.0,3,302.0,4,207
1821,Kothanur,1435.0,3,70.0,3,146
1822,6th Phase JP Nagar,3245.0,4,250.0,4,5
1823,Sarjapur  Road,1845.0,4,110.0,3,194
1824,Jigani,2400.0,4,130.0,3,113
1825,Ulsoor,1200.0,2,60.0,2,215
1826,Talaghattapura,2254.0,3,170.0,3,208
1827,Frazer Town,1750.0,3,150.0,3,77
1828,other,1020.0,2,37.0,2,230
1829,Bommanahalli,515.0,1,25.0,1,47
1830,Lingadheeranahalli,1893.0,3,140.0,3,154
1831,other,830.0,2,34.0,2,230
1832,Singasandra,600.0,2,36.5,2,201
1833,Bisuvanahalli,1075.0,2,90.0,3,46
1834,Kasavanhalli,1200.0,2,78.0,2,130
1835,Sarjapur  Road,1233.0,2,77.65,2,194
1836,Bannerghatta Road,1255.0,2,65.26,2,34
1837,Begur Road,1200.0,2,37.8,2,39
1838,Varthur,2145.0,3,175.0,3,217
1839,1st Phase JP Nagar,1500.0,5,85.0,5,1
1840,Kothannur,740.0,2,34.0,2,145
1841,Kengeri,1250.0,3,48.0,3,135
1842,other,1210.0,2,40.0,2,230
1843,Sarjapur  Road,1525.0,2,60.0,3,194
1844,Kogilu,540.0,1,36.0,1,142
1845,Tumkur Road,1240.0,2,84.0,3,214
1846,Subramanyapura,1245.0,2,68.0,3,205
1847,Bisuvanahalli,1075.0,2,35.99,3,46
1848,Whitefield,1155.0,2,60.0,2,224
1849,other,1520.0,2,62.0,2,230
1850,Thigalarapalya,3122.0,6,245.0,4,210
1851,Harlur,1290.0,2,85.0,2,91
1852,other,2300.0,3,80.0,3,230
1853,Kannamangala,3000.0,4,200.0,4,128
1854,other,400.0,1,14.0,1,230
1855,Banashankari,1340.0,2,53.6,3,26
1856,Hennur Road,987.0,2,49.0,2,96
1857,Old Madras Road,1720.0,3,100.0,3,177
1858,Hebbal,1040.0,2,50.0,2,92
1859,Anandapura,900.0,2,64.0,2,15
1860,Raja Rajeshwari Nagar,1030.0,2,50.0,2,184
1861,Neeladri Nagar,2556.0,3,133.0,3,173
1862,Balagere,1028.0,2,31.86,2,25
1863,7th Phase JP Nagar,1270.0,2,83.0,2,6
1864,Sahakara Nagar,1655.0,3,115.0,3,190
1865,Electronics City Phase 1,940.0,2,40.0,2,76
1866,Domlur,1050.0,2,85.0,2,71
1867,other,600.0,4,40.0,4,230
1868,other,946.0,2,38.0,2,230
1869,CV Raman Nagar,1726.0,3,145.0,3,53
1870,Vittasandra,1404.0,2,75.0,2,223
1871,Sarjapur,1525.0,2,48.0,3,193
1872,Kengeri,1025.0,2,57.0,2,135
1873,other,860.0,1,43.0,2,230
1874,Talaghattapura,1223.0,2,42.81,3,208
1875,Kothannur,1197.0,2,47.8,2,145
1876,Garudachar Palya,1150.0,2,52.75,2,79
1877,R.T. Nagar,1040.0,2,46.0,2,182
1878,Banashankari,1310.0,2,80.0,2,26
1879,Uttarahalli,1788.0,3,98.34,3,216
1880,Raja Rajeshwari Nagar,1144.0,2,38.55,2,184
1881,Anjanapura,1070.0,2,39.0,2,18
1882,other,1200.0,2,70.0,2,230
1883,Ambedkar Nagar,1862.0,3,120.0,3,13
1884,Margondanahalli,1200.0,2,58.5,2,162
1885,Begur Road,970.0,2,27.0,2,39
1886,Kasavanhalli,1646.0,3,79.5,3,130
1887,Sarjapur  Road,4395.0,4,242.0,4,194
1888,other,1200.0,4,100.0,5,230
1889,Iblur Village,1995.0,3,135.0,3,107
1890,Hosakerehalli,1085.0,2,47.74,2,102
1891,Budigere,1139.0,2,56.8,2,52
1892,Haralur Road,1092.0,2,44.0,2,90
1893,other,1767.0,3,98.0,3,230
1894,other,1700.0,3,80.0,3,230
1895,Bellandur,1692.0,3,88.0,3,40
1896,6th Phase JP Nagar,1645.0,3,100.0,3,5
1897,Uttarahalli,1345.0,2,57.0,3,216
1898,Gollarapalya Hosahalli,1408.0,3,62.0,3,81
1899,other,6040.0,4,170.0,5,230
1900,Thigalarapalya,2072.0,4,150.0,3,210
1901,Electronics City Phase 1,2040.0,3,137.0,3,76
1902,Sarjapur  Road,1220.0,3,56.0,3,194
1903,other,1300.0,2,79.0,2,230
1904,Electronics City Phase 1,1150.0,2,39.0,2,76
1905,KR Puram,1470.0,2,86.0,2,115
1906,Hosa Road,1063.0,2,31.9,2,101
1907,other,1311.0,2,48.0,2,230
1908,other,1400.0,2,55.0,3,230
1909,Kanakpura Road,2200.0,2,62.0,2,127
1910,Vidyaranyapura,1060.0,2,55.0,2,219
1911,Sector 7 HSR Layout,1760.0,3,145.0,3,197
1912,Whitefield,2010.0,3,92.0,3,224
1913,Kanakpura Road,1480.0,2,64.23,3,127
1914,8th Phase JP Nagar,1230.0,2,43.5,3,7
1915,Gottigere,1300.0,3,65.0,3,82
1916,Frazer Town,4850.0,6,385.0,4,77
1917,Singasandra,1100.0,2,52.0,2,201
1918,Harlur,1752.12,3,116.0,3,91
1919,Marathahalli,957.0,2,46.9,2,161
1920,Balagere,1113.0,1,41.9,1,25
1921,other,1942.0,3,102.0,3,230
1922,other,1000.0,2,53.0,2,230
1923,Yeshwanthpur,668.0,1,36.85,1,229
1924,Uttarahalli,1089.0,2,43.55,2,216
1925,Thanisandra,1800.0,3,90.0,3,209
1926,Yelahanka,1036.0,2,39.35,2,226
1927,Marathahalli,1583.0,3,105.0,3,161
1928,7th Phase JP Nagar,3300.0,4,150.0,4,6
1929,Padmanabhanagar,1100.0,2,65.0,2,178
1930,Vittasandra,1246.0,2,65.0,2,223
1931,Dodda Nekkundi,850.0,2,28.0,2,67
1932,Raja Rajeshwari Nagar,1196.0,2,51.51,2,184
1933,Thanisandra,1697.0,3,114.0,3,209
1934,TC Palaya,1000.0,2,64.0,2,207
1935,HRBR Layout,1567.0,3,90.0,3,88
1936,Sarjapur  Road,3750.0,6,290.0,4,194
1937,other,950.0,2,45.0,2,230
1938,other,1022.0,2,52.0,2,230
1939,Bharathi Nagar,1322.0,2,68.0,2,42
1940,other,1800.0,4,145.0,4,230
1941,Doddakallasandra,1460.0,2,58.39,3,69
1942,other,990.0,2,44.55,2,230
1943,Whitefield,1635.0,2,85.0,3,224
1944,Padmanabhanagar,3400.0,3,210.0,4,178
1945,EPIP Zone,4390.0,5,200.0,4,73
1946,other,1533.0,3,85.0,3,230
1947,Akshaya Nagar,1720.0,3,134.0,3,11
1948,Yeshwanthpur,1185.0,2,75.84,2,229
1949,Varthur Road,900.0,2,27.0,2,218
1950,Electronic City Phase II,1031.0,2,56.35,2,75
1951,Hennur,1259.0,2,57.0,2,95
1952,Raja Rajeshwari Nagar,1570.0,3,88.0,3,184
1953,Whitefield,1216.0,2,79.0,2,224
1954,Sarjapur  Road,1428.0,2,66.0,3,194
1955,Begur Road,1160.0,2,40.59,2,39
1956,other,1475.0,3,70.0,3,230
1957,Harlur,1754.0,3,135.0,3,91
1958,Rayasandra,1639.0,3,83.0,3,189
1959,Hennur Road,1804.0,3,102.0,3,96
1960,Whitefield,1200.0,3,56.2,3,224
